id,type,price,rent,roomNum,grossArea,netFloorArea,floor,address,postDate,latitude,longitude,title,region,propertyName,contact,imageURL,pageURL,agentName
240,sell,9400000,0,4,750,565,Mid level,NO.42 WOOD ROAD,12/18/2018,22.276254,114.176365,"By Owner, Stand-alone Building,Apartment 4 bedroom",Wan Chai,  Wah To Building,盧太 Mrs. Lo,https://i1.28hse.com/2018/12/736474_2018124854_tmb3.jpg,https://www.28hse.com/en/buy-property-736474.html,By Owner
254,sell,4800000,0,2,499,306,Mid level,NOS.5-7 CHUI TIN ST.,12/17/2018,22.369504,114.184082,"Stage 2 - Blk F - (Golden Fullness Court), Golden",Tai Wai,  Golden Lion Garden,"李錦添先生 Tim, Lee Kam Tim",https://i1.28hse.com/2019/01/735599_2019012600_tmb3.jpg,https://www.28hse.com/en/buy-property-735599.html,Midland Property
258,sell,13600000,0,3,850,691,Low level,7 Li Kwan Avenue,12/17/2018,22.276334,114.19349,Regent Court,Tai Hang,  Regent Court,"何灝霖小姐 Kimberly, Ho Hoi Lam",https://i1.28hse.com/2018/12/735520_2018124821_tmb3.jpg,https://www.28hse.com/en/buy-property-735520.html,Hong Kong Property
259,sell,6800000,0,4,845,650,Mid level,NO.1 TAK TIN STREET,12/17/2018,22.310395,114.234508,"By Owner, Home Ownership,Apartment 4 bedroom",Lam Tin,  Hong Yat Court,Andrea Wu Andrea,https://i1.28hse.com/2017/12/502614_2017125137_tmb3.jpg,https://www.28hse.com/en/buy-property-502614.html,By Owner
270,sell,5300000,0,2,695,559,Mid level,NO.63 WING TAI ROAD,12/15/2018,22.268307,114.240625,"Home Ownership,Apartment 2 bedroom",Chai Wan,  Hang Tsui Court,宏智物業 ＥＭＢＬＡＺＯＮ　ＰＲＯＰＥＲＴＹ,https://i1.28hse.com/2018/12/756036_2018121550_tmb3.jpg,https://www.28hse.com/en/buy-property-734658.html,Emblazon Property
301,sell,6400000,0,2,718,610,High level,NO.1 LAI CHI LING ROAD,12/13/2018,22.350659,114.131667,"By Owner, Estate,Home Ownership,Apartment 2 bedroom",Mei Foo,  Tsui Yiu Court,Peggy,https://i1.28hse.com/2018/12/732957_2018124937_tmb3.jpg,https://www.28hse.com/en/buy-property-732957.html,By Owner
343,sell,11000000,0,5 +,980,848,Low level,NO.4 WESTLANDS ROAD,1/9/2019,22.2854725,114.2133691,"Estate,Apartment 5 bedroom",Quarry Bay,  Westlands Gardens,陳先生 Ryan Chan,https://www.28hse.com/en/utf8/dreamimages/nophoto150.jpg,https://www.28hse.com/en/buy-property-749391.html,Cheong Shing Property
371,sell,7500000,0,3,742,591,High level,8 WAN HANG ROAD,1/10/2019,22.320268,114.258496,The Pinnacle,Tseung Kwan O,  The Pinnacle,世紀21物業(將軍澳),https://i1.28hse.com/2019/01/749872_2019014006_tmb3.jpg,https://www.28hse.com/en/buy-property-749872.html,Century 21 (Tseung Kwan O)
391,sell,9300000,0,3,857,687,Low level,NO.2 LAGUNA STREET,1/7/2019,22.30676075,114.2268598,"Block 13, Laguna City",Lam Tin,  Laguna City,"何錦慶先生 Jackson, Ho Kam Hing",https://i1.28hse.com/2019/01/747427_2019015453_tmb3.jpg,https://www.28hse.com/en/buy-property-747427.html,Midland Property
392,sell,6400000,0,2,515,369,High level,NO.8 FUK LEE STREET,1/7/2019,22.32437,114.159788,"Block 09, Phase 2, Metro Harbour View",Tai Kok Tsui,  Metro Harbour View,"周啟聰先生 Jay, Chow Kai Chung",https://i1.28hse.com/2019/01/747422_2019011667_tmb3.jpg,https://www.28hse.com/en/buy-property-747422.html,Midland Property
393,sell,4700000,0,2,431,315,High level,NO.9 ON PONG ROAD,1/7/2019,22.450209,114.169008,"Block 20, Tai Po Centre",Tai Po,   Centre,"嚴小玲小姐 Elaine, Yim Siu Ling",https://i1.28hse.com/2019/01/747409_2019014520_tmb3.jpg,https://www.28hse.com/en/buy-property-747409.html,Midland Property
394,sell,5700000,0,1,517,371,Mid level,NO.9 ON PONG ROAD,1/7/2019,22.450209,114.169008,"Block 08, Tai Po Centre",Tai Po,   Centre,"吳華彩小姐 Rainbow, Ng Wa Choi",https://i1.28hse.com/2019/01/747406_2019014713_tmb3.jpg,https://www.28hse.com/en/buy-property-747406.html,Midland Property
399,sell,5600000,0,3,712,554,High level,NO.9 KAM YING ROAD,1/6/2019,22.42267237,114.2364407,"Home Ownership,Apartment 3 bedroom",Ma On Shan,  Kam Ying Court,郭小姐 Ar Man,https://i1.28hse.com/2019/01/747277_2019010703_tmb3.jpg,https://www.28hse.com/en/buy-property-747277.html,Goodwin Property
417,sell,4900000,0,1,514,401,Mid level,NO.78 SIU LEK YUEN ROAD,1/5/2019,22.38065471,114.2167586,"Estate,Home Ownership,Apartment 1 bedroom",ShaTin,  Hong Lam Court,莊先生 Johnson Chong,https://i1.28hse.com/2019/01/767698_2019014297_tmb3.jpg,https://www.28hse.com/en/buy-property-746753.html,Century 21 Goodwin Property
429,sell,4900000,0,2,607,488,High level,NO.121 CHOI HUNG ROAD,12/11/2018,22.337517,114.195196,Kai Tak Garden,Wong Tai Sin,  Kai Tak Garden,黎先生,https://i1.28hse.com/2019/01/732057_2019012016_tmb3.jpg,https://www.28hse.com/en/buy-property-732057.html,Fullmark
431,sell,5000000,0,2,519,434,Mid level,NO. 32 FUNG SHING STREET,12/11/2018,22.34212,114.210612,King Shan Court,Ngau Chi Wan,  King Shan Court,黎先生,https://i1.28hse.com/2019/01/732052_2019015425_tmb3.jpg,https://www.28hse.com/en/buy-property-732052.html,Fullmark
434,sell,4900000,0,2,543,477,Mid level,NO.195 TSUEN KING CIRCUIT,1/5/2019,22.378318,114.103615,"Estate,Studio,Apartment 2 bedroom",Tsuen Wan,  Allway Gardens,馮先生 Dickson Fung,https://i1.28hse.com/2018/02/718922_2018021575_tmb3.jpg,https://www.28hse.com/en/buy-property-718922.html,ISLAND PROPERTY
439,sell,3100000,0,3,692,490,High level,顯徑邨,1/4/2019,22.3650556,114.1738889,"Estate,Public Estate,Apartment 3 bedroom",Tai Wai,  Hin Keng Estate,何先生 Tim Ho,https://i1.28hse.com/2018/11/742855_2018111158_tmb3.jpg,https://www.28hse.com/en/buy-property-720733.html,Shiu Fung Property
483,sell,5800000,0,open style,347,262,High level,NO.73 SMITHFIELD,1/2/2019,22.280689,114.128653,"Estate,Apartment 7 bedroom",Kennedy Town,  Smithfield Terrace,吳先生 Johnny Ng,https://i1.28hse.com/2018/09/566662_2018093504_tmb3.jpg,https://www.28hse.com/en/buy-property-539503.html,Kin Kee Property
507,sell,7500000,0,2,423,346,Low level,NOS.22/36 PATERSON STREET,12/31/2018,22.280995,114.185845,Pearl City Mansion,Causeway Bay,  Pearl City Mansion,"何灝霖小姐 Kimberly, Ho Hoi Lam",https://i1.28hse.com/2018/12/743222_2018122989_tmb3.jpg,https://www.28hse.com/en/buy-property-743222.html,Hong Kong Property
570,sell,3600000,0,2,515,401,High level,NO.7 HIU TSUI STREET,12/25/2018,22.263335,114.247113,HIU TSUI COURT 2 RM 3.68M,Chai Wan,  Hiu Tsui Court,周生 EDMOND,https://i1.28hse.com/2018/11/743719_2018111680_tmb3.jpg,https://www.28hse.com/en/buy-property-721706.html,Merton Property
580,sell,11300000,0,2,734,509,Low level,NO.238 KINGS ROAD,12/24/2018,22.288056,114.194035,"Block B, Fortress Metro Tower",North Point,  Fortress Metro Tower,"李君傑先生 Ricky, Lee Kwan Kit",https://i1.28hse.com/2018/12/739772_2018121286_tmb3.jpg,https://www.28hse.com/en/buy-property-739772.html,Hong Kong Property
627,sell,4800000,0,2,532,419,Mid level,NO.2-16 SAI SHAN ROAD,12/20/2018,22.344501,114.107536,"With sea view,Negoitable",Tsing Yi,  Mayfair Gardens,鄧艷雲 Tang Yim Wan (Gaby),https://i1.28hse.com/2019/01/759006_2019013531_tmb3.jpg,https://www.28hse.com/en/buy-property-737758.html,Kai Shing (REA) Limited
689,sell,4500000,0,2,395,284,Low level,NO.4 TAK LEE STREET,12/17/2018,22.38808758,114.2031384,"Block 44, City One Shatin",ShaTin,  City One Shatin,"方潔蓮小姐 Angel, Fong Kit Lin",https://i1.28hse.com/2019/01/735618_2019013222_tmb3.jpg,https://www.28hse.com/en/buy-property-735618.html,Midland Property
968,sell,6900000,0,2,600,537,Mid level,NO.8 WAH KING HILL ROAD KWAI CHUNG,1/10/2019,22.34964,114.136007,"South, Victoria Harbour",Mei Foo,  Wah Yuen Chuen,葉先生 Winson Ip,https://i1.28hse.com/2018/10/693704_2018105379_tmb3.jpg,https://www.28hse.com/en/buy-property-672192.html,Easy Land Agency
978,sell,4500000,0,3,712,592,High level,NO.2 WU SAU STREET,1/10/2019,22.374948,113.967971,"By Owner, Estate,Home Ownership,Apartment 3 bedroom",Tuen Mun,  Yuet Wu Villa,WONG,https://i1.28hse.com/2019/01/749952_2019013972_tmb3.jpg,https://www.28hse.com/en/buy-property-749952.html,By Owner
1067,sell,6000000,0,1,750,750,Ground Floor,"15-21 Wong Chuk Yeung St., Sha Tin",1/10/2019,22.397986,114.189337,"By Owner, Short Rental,Office/industrial 1 bedroom",Fotan,  Wah Luen Industrial Centre,FILL,https://i1.28hse.com/2019/01/749734_2019014038_tmb3.jpg,https://www.28hse.com/en/buy-property-749734.html,By Owner
1134,sell,5600000,0,3,693,591,Mid level,NO.8 KING TUNG STREET,12/11/2018,22.340561,114.211153,Kingsford Terrace,Ngau Chi Wan,  Kingsford Terrace,黎先生,https://i1.28hse.com/2019/01/732065_2019013290_tmb3.jpg,https://www.28hse.com/en/buy-property-732065.html,Fullmark
1195,sell,12500000,0,1,699,531,High level,NO. 1 WO FUNG STREET,12/16/2018,22.28690621,114.1466564,"Don't miss it, good timing for negotiation",Sheung Wan,  One Pacific Heights,葉小姐 Helen,https://i1.28hse.com/2018/12/735039_2018123817_tmb3.jpg,https://www.28hse.com/en/buy-property-735039.html,By Real Estate Agency
1370,sell,8000000,0,3,733,550,High level,8 MAU TAI ROAD,1/10/2019,22.322843,114.255673,Verbena Heights,Tseung Kwan O,  Verbena Heights,世紀21物業(將軍澳),https://i1.28hse.com/2019/01/749932_2019013655_tmb3.jpg,https://www.28hse.com/en/buy-property-749932.html,Century 21 (Tseung Kwan O)
1473,sell,1300000,0,open style,85,45,Low level,109 Argyle St.,1/9/2019,22.31999987,114.1709526,Shops 7 bedroom,Mong Kok,  Richmond Commercial Building,黃生 Tracen Wong,https://i1.28hse.com/2019/01/769960_2019014968_tmb3.jpg,https://www.28hse.com/en/buy-property-749083.html,Kwong Shun Property
1600,sell,3200000,0,2,601,438,Mid level,NO.10 YAN WAH STREET,12/11/2018,22.34825743,114.2019743,Tsz On Court,Wong Tai Sin,  Tsz On Court,黎先生,https://i1.28hse.com/2019/01/732024_2019013861_tmb3.jpg,https://www.28hse.com/en/buy-property-732024.html,Fullmark
1656,sell,5700000,0,2,568,484,Low level,11 TONG CHUN STREET,1/8/2019,22.306734,114.262383,"By Owner, Home Ownership,Apartment 2 bedroom",Tseung Kwan O,  Bauhinia Garden,吳太 Mrs Ng,https://i1.28hse.com/2019/01/748782_2019015397_tmb3.jpg,https://www.28hse.com/en/buy-property-748782.html,By Owner
1774,sell,14800000,0,2,703,600,Mid level,58A & 58B CONDUIT ROAD 97 ROBINSON ROAD,1/8/2019,22.281985,114.147186,Carpark+Balcony+2brs+big living room VP,Western mid-levels,  Scenic Heights,Sylvia Lo,https://i1.28hse.com/2018/12/742443_2018125567_tmb3.jpg,https://www.28hse.com/en/buy-property-742443.html,By Real Estate Agency
1798,sell,10500000,0,3,863,633,Mid level,1 TONG TAK STREET,1/10/2019,22.3094444,114.2625,Tseung Kwan O Plaza,Tseung Kwan O,   Plaza,世紀21物業(將軍澳),https://i1.28hse.com/2019/01/749922_2019014512_tmb3.jpg,https://www.28hse.com/en/buy-property-749922.html,Century 21 (Tseung Kwan O)
1886,sell,6200000,0,2,638,451,Mid level,NO.1 TSING YI ROAD,11/12/2018,22.343678,114.109823,Rambler Crest,Tsing Yi,  Rambler Crest,詹皓泰 Andy Jim,https://i1.28hse.com/2019/01/736504_2019013102_tmb3.jpg,https://www.28hse.com/en/buy-property-714110.html,美聯物業
1888,sell,8800000,0,2,687,499,Mid level,NO.8 NGA YING CHAU STREET TSING YI,11/12/2018,22.362227,114.105808,Villa Esplanada,Tsing Yi,  Villa Esplanada,黃雪梅 Tina,https://i1.28hse.com/2018/11/713984_2018110924_tmb3.jpg,https://www.28hse.com/en/buy-property-713984.html,美聯物業
1891,sell,4400000,0,2,515,401,High level,NO.22 TSING CHIN STREET,11/12/2018,22.348751,114.100631,Ching Wah Court,Tsing Yi,  Ching Wah Court,李崇輝 Ben Lee,https://i1.28hse.com/2018/11/713835_2018115308_tmb3.jpg,https://www.28hse.com/en/buy-property-713835.html,美聯物業
1995,sell,7300000,0,3,813,597,High level,NO.33 FUNG SHING STREET,1/10/2019,22.342075,114.211796,Hilltop Gardens,Ngau Chi Wan,  Hilltop Gardens,黎先生,https://i1.28hse.com/2019/01/749613_2019012902_tmb3.jpg,https://www.28hse.com/en/buy-property-749613.html,Fullmark
2105,sell,2300000,0,2,535,407,Low level,小瀝源Siu Lek Yuen Rd 68號,11/25/2018,22.381231,114.214146,"Public Estate,Apartment 2 bedroom",ShaTin,  Kwong Yuen Estate,陳志明 ERIC CHAN,https://i1.28hse.com/2019/01/517980_2019011512_tmb3.jpg,https://www.28hse.com/en/buy-property-489889.html,Castello Property Agency
2127,sell,4600000,0,2,365,274,High level,NO.60 SAU FU STREET,1/7/2019,22.44546,114.026318,"By Owner, Estate,Stand-alone Building,Apartment 2 bedroom",Yuen Long,  Ho Shun Fuk Building,佘生,https://i1.28hse.com/2018/05/688327_2018051530_tmb3.jpg,https://www.28hse.com/en/buy-property-688327.html,By Owner
2154,sell,9600000,0,3,970,671,Low level,NO.22 YAU LAI ROAD TING KAU TSUEN WAN,1/7/2019,22.36867034,114.0907929,"With sea view,Spacious,Car park with cover,well facilities,nice environment",Tsuen Wan,  Hanley Villa,歐先生 IVAN,https://i1.28hse.com/2019/01/768806_2019010435_tmb3.jpg,https://www.28hse.com/en/buy-property-747879.html,Century 21 Wystan Property
2177,sell,3300000,0,2,515,401,High level,NO.3 SIU HING LANE,11/23/2018,22.384449,113.975842,"Home ownership scheme for lease,Best price for lea",Tuen Mun,  Siu Lun Court,朱麒銘 EDDIE CHU,https://i1.28hse.com/2019/01/651301_2019010541_tmb3.jpg,https://www.28hse.com/en/buy-property-651301.html,Midland Realty
2185,sell,6700000,0,3,849,634,High level,15 TONG MING STREET,1/10/2019,22.309061,114.256665,Tong Ming Court,Tseung Kwan O,  Tong Ming Court,世紀21物業(將軍澳),https://i1.28hse.com/2019/01/749917_2019012079_tmb3.jpg,https://www.28hse.com/en/buy-property-749917.html,Century 21 (Tseung Kwan O)
2277,sell,6800000,0,2,600,446,Low level,NO.18 TAI PO TAU ROAD,1/9/2019,22.453866,114.160322,Serenity Park,Tai Po,  Serenity Park,聶小姐,https://i1.28hse.com/2019/01/749077_2019013589_tmb3.jpg,https://www.28hse.com/en/buy-property-749077.html,Richland Property
2394,sell,5800000,0,2,665,507,Mid level,85 PAK LAM ROAD MA WAN,12/27/2018,22.352128,114.061469,PHASE 5 TWO BEDROOMS WITH BALCONY,Ma Wan,  Park Island,沈小姐 Ms Sum,https://i1.28hse.com/2018/12/708967_2018120415_tmb3.jpg,https://www.28hse.com/en/buy-property-685511.html,Midland Realty
2400,sell,10200000,0,2,571,487,Low level,范信達道7號,1/7/2019,22.34207527,114.1822064,"Block F, Phoenix Court",Kowloon Tong,  Phoenix Court,"朱淑芝小姐 Chi, Chu Shuk Chi",https://i1.28hse.com/2019/01/747459_2019015415_tmb3.jpg,https://www.28hse.com/en/buy-property-747459.html,Midland Property
2403,sell,9900000,0,1,607,471,Mid level,No.1 Yau Cheung Road,1/7/2019,22.31032348,114.1658604,"Block 6, The Coronation",Yau Ma Tei,  The Coronation,"張燕玲小姐 Vermont, Cheung Yin Ling",https://i1.28hse.com/2019/01/747453_2019011010_tmb3.jpg,https://www.28hse.com/en/buy-property-747453.html,Midland Property
2411,sell,9000000,0,1,543,398,Low level,NO.23 WARREN STREET,1/7/2019,22.2780812,114.1917993,Warrenwoods,Tai Hang,  WarrenWoods,"李敬源先生 Bryan, Lee King Yuen",https://i1.28hse.com/2019/01/747441_2019011352_tmb3.jpg,https://www.28hse.com/en/buy-property-747441.html,Midland Property
2415,sell,10800000,0,3,776,629,Mid level,YI NAM ROAD,1/7/2019,22.243749,114.146545,"Block 01, South Horizons",South Horizons,  ,"宋曲莉小姐 Janice, Song Quli",https://i1.28hse.com/2019/01/747436_2019014246_tmb3.jpg,https://www.28hse.com/en/buy-property-747436.html,Midland Property
2417,sell,12800000,0,2,747,583,High level,窩打老道78號,1/7/2019,22.31780293,114.1753702,Park Horizon,Ho Man Tin,  Park Horizon,"黃超珍小姐 Winnie, Wong Chiu Chun",https://i1.28hse.com/2019/01/747428_2019013287_tmb3.jpg,https://www.28hse.com/en/buy-property-747428.html,Midland Property
2419,sell,4500000,0,2,502,404,Low level,NO.1 TUEN LEE STREET,10/17/2018,22.392173,113.978132,"Estate,Village House,Apartment 2 bedroom",Tuen Mun,  Waldorf Garden,林琛馥 SAMF LAM,https://i1.28hse.com/2018/12/718068_2018120455_tmb3.jpg,https://www.28hse.com/en/buy-property-695261.html,Midland Realty
2424,sell,9200000,0,2,641,459,High level,NO.1 TUNG SHAN TERRACE,1/7/2019,22.267497,114.181808,The Notting Hill,Happy Valley,  The Notting Hill,"梁夢嫺小姐 Monita, Leung Mong Han",https://i1.28hse.com/2019/01/747423_2019011670_tmb3.jpg,https://www.28hse.com/en/buy-property-747423.html,Midland Property
2425,sell,13500000,0,2,587,587,Mid level,28 Sheung Shing Street,1/7/2019,22.3190823,114.1810051,"Block 5, Mantin Heights",Ho Man Tin,  Mantin Heights,"許健強先生 Vincent, Shui Kin Keung",https://i1.28hse.com/2019/01/747418_2019012999_tmb3.jpg,https://www.28hse.com/en/buy-property-747418.html,Midland Property
2428,sell,13800000,0,2,505,505,High level,28 Sheung Shing Street,1/7/2019,22.3190823,114.1810051,"Block 1, Mantin Heights",Ho Man Tin,  Mantin Heights,"劉子倫先生 Jacky, Lau Tsz Lun",https://i1.28hse.com/2019/01/747416_2019013661_tmb3.jpg,https://www.28hse.com/en/buy-property-747416.html,Midland Property
2441,sell,9300000,0,2,646,455,High level,NO.28 SIU SAI WAN ROAD,1/7/2019,22.266584,114.250005,"Block 1, Island Resort",Chai Wan,  Island Resort,"陳小菊小姐 Lisa, Chan Siu Kuk",https://i1.28hse.com/2019/01/747395_2019012303_tmb3.jpg,https://www.28hse.com/en/buy-property-747395.html,Midland Property
2444,sell,9000000,0,2,722,492,High level,NO.28 SIU SAI WAN ROAD,1/7/2019,22.266584,114.250005,"Block 6, Island Resort",Chai Wan,  Island Resort,"郭新華小姐 Helen, Guo Xinhua",https://i1.28hse.com/2019/01/747393_2019014354_tmb3.jpg,https://www.28hse.com/en/buy-property-747393.html,Midland Property
2446,sell,9400000,0,3,827,567,Low level,NO.28 SIU SAI WAN ROAD,1/7/2019,22.266584,114.250005,"Block 5, Island Resort",Chai Wan,  Island Resort,"陳小菊小姐 Lisa, Chan Siu Kuk",https://i1.28hse.com/2019/01/747392_2019015499_tmb3.jpg,https://www.28hse.com/en/buy-property-747392.html,Midland Property
2447,sell,18000000,0,3,989,783,Mid level,NO. 48 LYTTELTON ROAD,1/7/2019,22.283745,114.141665,Scholastic Garden,Western mid-levels,  Scholastic Garden,"秦麒晉先生 Calvin, Chun Kee Chun",https://i1.28hse.com/2019/01/747388_2019013319_tmb3.jpg,https://www.28hse.com/en/buy-property-747388.html,Hong Kong Property
2448,sell,9600000,0,2,628,420,High level,NO.18 JUPITER STREET,1/7/2019,22.286494,114.192094,"Block 2, Jupiter Terrace",North Point,  Jupiter Terrace,"鄭國志先生 Sammy, Cheng Kwok Chi",https://i1.28hse.com/2019/01/747387_2019015732_tmb3.jpg,https://www.28hse.com/en/buy-property-747387.html,Midland Property
2459,sell,8900000,0,2,612,456,Mid level,NO.11 HOI FAN ROAD,1/7/2019,22.320628,114.155249,"Block 3, Hampton Place",Olympic,  Hampton Place,"劉思怡小姐 Ashley, Lau Sze Yi",https://i1.28hse.com/2019/01/747375_2019015775_tmb3.jpg,https://www.28hse.com/en/buy-property-747375.html,Hong Kong Property
2610,sell,5000000,0,2,435,347,Mid level,NO.15 CASTLE PEAK ROAD TSUEN WAN,1/6/2019,22.369964,114.121893,Tsuen Wan Garden,Tsuen Wan,   Garden,永誠置業 Forever Agency,https://i1.28hse.com/2019/01/767996_2019012006_tmb3.jpg,https://www.28hse.com/en/buy-property-747058.html,Forever Agency
2651,sell,1600000,0,open style,161,161,Low level,開源道45 號,1/6/2019,22.310031,114.223377,"By Owner, Office/industrial 7 bedroom",Kwun Tong,  Yau Lee Centre,Mr LEE,https://i1.28hse.com/2019/01/746993_2019013837_tmb3.jpg,https://www.28hse.com/en/buy-property-746993.html,By Owner
2693,sell,7200000,0,2,507,446,Low level,560 KINGS ROAD,1/6/2019,22.291667,114.203934,Simple decorated,North Point,  Healthy Gardens,洪先生 Vincent Hung,https://www.28hse.com/en/utf8/dreamimages/nophoto150.jpg,https://www.28hse.com/en/buy-property-746929.html,Elegant Property
2738,sell,8300000,0,3,997,663,Mid level,NO.11 LEI YUE MUN ROAD,1/10/2019,22.308434,114.232614,Lei On Court,Lam Tin,  Lei On Court,黎先生,https://i1.28hse.com/2019/01/749606_2019010760_tmb3.jpg,https://www.28hse.com/en/buy-property-749606.html,Fullmark
2918,sell,9300000,0,3,915,694,High level,NO.8 SHEK KOK ROAD,1/10/2019,22.29757399,114.2750459,The Beaumount,Tseung Kwan O,  The Beaumount,世紀21物業(將軍澳),https://i1.28hse.com/2019/01/749900_2019010515_tmb3.jpg,https://www.28hse.com/en/buy-property-749900.html,Century 21 (Tseung Kwan O)
2988,sell,6100000,0,2,551,409,High level,NO.9 ON PONG ROAD,1/9/2019,22.450209,114.169008,Tai Po Centre,Tai Po,   Centre,聶小姐,https://i1.28hse.com/2019/01/749073_2019015056_tmb3.jpg,https://www.28hse.com/en/buy-property-749073.html,Richland Property
2989,sell,8000000,0,2,599,489,High level,NO.9 NAM WAN ROAD,1/9/2019,22.444087,114.168882,UpTown Plaza,Tai Po,  UpTown Plaza,聶小姐,https://i1.28hse.com/2019/01/749071_2019015584_tmb3.jpg,https://www.28hse.com/en/buy-property-749071.html,Richland Property
3079,sell,3200000,0,2,626,485,Low level,穎竹街,1/10/2019,22.345807,114.192925,Chuk Yuen North Estate,Wong Tai Sin,  Chuk Yuen North Estate,黎先生,https://i1.28hse.com/2019/01/749605_2019010353_tmb3.jpg,https://www.28hse.com/en/buy-property-749605.html,Fullmark
3137,sell,6200000,0,1,700,630,Ground Floor,Yuen Long,1/4/2019,22.4282218,114.0834152,"Village House,Apartment,House 1 bedroom",Yuen Long,  Village,曾小姐 FANNY TSANG,https://i1.28hse.com/2019/01/746145_2019013729_tmb3.jpg,https://www.28hse.com/en/buy-property-746145.html,Hang Shun Real Estate
3171,sell,3200000,0,3,638,485,High level,藍田興田邨,12/23/2018,22.312478,114.237334,"Public Estate,Apartment 3 bedroom",Lam Tin,  Hing Tin Estate,關小姐 Peggy Kwan,https://i1.28hse.com/2018/12/739474_2018125749_tmb3.jpg,https://www.28hse.com/en/buy-property-739474.html,Century 21 Luen Shing Pro
3240,sell,7000000,0,3,781,604,Mid level,88 PO HONG ROAD,1/10/2019,22.322482,114.254121,Serenity Place,Tseung Kwan O,  Serenity Place,世紀21物業(將軍澳),https://i1.28hse.com/2019/01/749891_2019014378_tmb3.jpg,https://www.28hse.com/en/buy-property-749891.html,Century 21 (Tseung Kwan O)
